name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Splügen (Tambobach)",,,,Splügen,CH,1.8,Hydro,Run-of-river,,2012,,46.5459228175,9.30973326414,,"Renewable energy",Hydro,,,,BFE
"Stauanlage Sufers Dotieranlage",,,,Sufers,CH,0.71,Hydro,Run-of-river,,2010,,,,,"Renewable energy",Hydro,,,"- Dotieranlage wurde 1989 erbaut; - Erneuerung der Dotieranlage im Rahmen der Gesamterneuerung der KWH (2010 - 2017); ",BFE
Bärenburg,,,,Andeer,CH,220,Hydro,Reservoir,,2017,,46.5901915365,9.42142722621,12W-0000000016-H,"Renewable energy",Hydro,,,,BFE
"Bärenburg Dotieranlage",,,,Andeer,CH,1.6,Hydro,Run-of-river,,2017,,46.5901915365,9.42142722621,12W-0000000016-H,"Renewable energy",Hydro,,,,BFE
Sils,,,,"Sils, Nisellas",CH,247,Hydro,Reservoir,,1961,,46.7031360141,9.46664904976,12W-0000000016-H,"Renewable energy",Hydro,,,,BFE
Thusis,,,,Thusis,CH,4.6,Hydro,Run-of-river,,2017,,46.6901486217,9.44288408447,,"Renewable energy",Hydro,,,,BFE
Preda-Bergün,,,,"Preda bei Bergün",CH,0.9,Hydro,Run-of-river,,1976,,46.5874577736,9.77845017026,,"Renewable energy",Hydro,,,,BFE
Frauenkirch,,,,"Davos, Frauenkirch",CH,0.7,Hydro,Run-of-river,,1963,,46.7688686224,9.80558112281,,"Renewable energy",Hydro,,,,BFE
Glaris,,,,"Davos, Glaris",CH,1.13,Hydro,Run-of-river,,1964,,46.7360930283,9.77586865383,,"Renewable energy",Hydro,,,,BFE
Filisur,,,,Filisur,CH,65,Hydro,Run-of-river,,2002,,46.6698919694,9.68920263555,,"Renewable energy",Hydro,,,,BFE
Filisur-Tiefencastel,,,,Tiefencastel,CH,24,Hydro,Run-of-river,,1989,,46.6608466013,9.57955507518,,"Renewable energy",Hydro,,,,BFE
"Stalvedro (Julia)",,,,Bivio,CH,0.65,Hydro,Run-of-river,,1980,,46.4796105068,9.6452128901,12W-0000000064-3,"Renewable energy",Hydro,,,,BFE
"Mulegn, Tinizong-Rona",,,,Tinizong-Rona,CH,7,Hydro,Run-of-river,,2016,,,,,"Renewable energy",Hydro,,,,BFE
Tinizong,,,,Tinizong,CH,69.5,Hydro,Reservoir,,1971,,46.5825064851,9.61064835764,,"Renewable energy",Hydro,,,,BFE
Nandrò,,,,"Riom - Parsonz",CH,1.59,Hydro,Run-of-river,,2011,,46.5681520979,9.5702754213,,"Renewable energy",Hydro,,,,BFE
"Tiefencastel Ost",,,,Tiefencastel,CH,52,Hydro,Reservoir,,1970,,46.6644016578,9.56270347437,,"Renewable energy",Hydro,,,"- Zentralen Tiefencastel Ost und Tiefencastel West in einem Gebäudekomplex    ;                                                  ; ",BFE
"Tiefencastel West",,,,Tiefencastel,CH,26,Hydro,Run-of-river,,1949,,46.6644016578,9.56270347437,,"Renewable energy",Hydro,,,"- Zentralen Tiefencastel Ost und Tiefencastel West in einem Gebäudekomplex   ;                                                  ; ",BFE
Solis,,,,Vaz/Obervaz,CH,7.3,Hydro,Run-of-river,,1978,,46.6819220936,9.52521300017,,"Renewable energy",Hydro,,,,BFE
"Sils (EWZ)",,,,"Sils im Domleschg",CH,26,Hydro,Run-of-river,,1996,,46.7040817391,9.46406852744,12W-0000000016-H,"Renewable energy",Hydro,,,"- Zentrale Sils(EWZ) dient als Dotierzentrale                   ; ",BFE
"Rothenbrunnen (EWZ)",,,,Rothenbrunnen,CH,44,Hydro,Reservoir,,1976,,46.7739461705,9.42098533692,12W-0000000011-W,"Renewable energy",Hydro,,,,BFE
Reichenau,,,,Domat-Ems,CH,19.06,Hydro,Run-of-river,,1962,,46.8377337086,9.44733101447,,"Renewable energy",Hydro,,,,BFE
Arosa-Litzirüti,,,,Litzirüti,CH,5,Hydro,Run-of-river,,1969,,46.8000493529,9.70591198066,,"Renewable energy",Hydro,,,,BFE
"KW Sagenbach",,,,"Lüen, Tewald",CH,3.55,Hydro,Run-of-river,,2013,,46.8284428074,9.60614992526,,"Renewable energy",Hydro,,,"- Zentralen Lüen (Sagenbach) und Lüen (Plessur, Clasaurer) in einem Gebäude; ",BFE
Molinis-Lüen,,,,"Lüen, Tewald",CH,7.2,Hydro,Run-of-river,,1990,,46.8284428074,9.60614992526,,"Renewable energy",Hydro,,,"- Zentralen Lüen (Plessur, Clasaurer) und Lüen (Sagenbach) in einem Gebäude; ",BFE
Plessurwerk,,,,"Chur, Sand",CH,9.4,Hydro,Run-of-river,,2011,,46.8404306281,9.54250541843,,"Renewable energy",Hydro,,,"- Zentralen Sand (Plessur) und Sand (Rabiusa) in einem Gebäude; ",BFE
Rabiusawerk,,,,"Chur, Sand",CH,0.71,Hydro,Run-of-river,,2012,,46.8404306281,9.54250541843,,"Renewable energy",Hydro,,,"- Zentralen Sand (Plessur) und Sand (Rabiusa) in einem Gebäude;  ; ",BFE
Klosters,,,,Klosters,CH,16.5,Hydro,Reservoir,,1982,,46.861014512,9.89557404649,,"Renewable energy",Hydro,,,,BFE
Schlappin,,,,Klosters-Dorf,CH,6.1,Hydro,Run-of-river,,2000,,46.8850480052,9.87855790113,,"Renewable energy",Hydro,,,,BFE
Küblis,,,,Küblis,CH,45.6,Hydro,Run-of-river,,2006,,46.913974185,9.78202924909,,"Renewable energy",Hydro,,,,BFE
Taschinas,,,,Seewis,CH,11.33,Hydro,Run-of-river,,2011,,46.9828412314,9.64486330331,,"Renewable energy",Hydro,,,,BFE
"Igiser Mülbach 1 (Landquart 1)",,,,Landquart-Fabriken,CH,0.5,Hydro,Run-of-river,,1978,,46.9593278102,9.57988985784,,"Renewable energy",Hydro,,,,BFE
"Igiser Mülbach 2 (Landquart 2)",,,,Landquart-Fabriken,CH,0.71,Hydro,Run-of-river,,1988,,46.9548019948,9.5668303331,,"Renewable energy",Hydro,,,,BFE
Mapragg,,,,Vadura,CH,279.9,Hydro,"Pumped storage",,1977,,46.9484407976,9.4812988795,12W-0000000917-6,"Renewable energy",Hydro,,,"- Mittlere Produktionserwartung: Inklusive Hilfsbetriebe       ; - Zentrale Mapragg praktiziert Umwälzbetrieb                   ; ",BFE
Sarelli,,,,"Bad Ragaz",CH,90,Hydro,Reservoir,,1978,,46.9770980292,9.53865885488,12W-0000000917-6,"Renewable energy",Hydro,,,"- Mittlere Produktionserwartung: Inklusive Hilfsbetriebe        ; ",BFE
Ragaz,,,,Ragaz,CH,0.7,Hydro,Run-of-river,,1956,,47.0000948296,9.50115288825,,"Renewable energy",Hydro,,,"- Mittlere Produktionserwartung: Ab Inbetriebnahme KSL nur noch Pflichtwasseranteil. ;                                              ; ",BFE
Jenins,,,,Jenins,CH,0.46,Hydro,Run-of-river,,1997,,46.9931780282,9.55480652195,,"Renewable energy",Hydro,,,,BFE
Valeis,,,,Vilters,CH,1.2,Hydro,Run-of-river,,2004,,47.0232622307,9.44809505335,,"Renewable energy",Hydro,,,,BFE
Grossbach,,,,"Wangs, Gaschiels",CH,0.7,Hydro,Run-of-river,,1993,,47.0258051067,9.44161096561,,"Renewable energy",Hydro,,,"- Rechtsgrundlage: Konzessionsverhandlungen im Gange            ; ",BFE
Sevelen,,,,Sevelen,CH,1.14,Hydro,Run-of-river,,1989,,47.1209036183,9.48300188061,,"Renewable energy",Hydro,,,,BFE
Buchs-Vorderberg,,,,"Buchs, Waldrand",CH,0.98,Hydro,Run-of-river,,1987,,47.1490022349,9.44582705102,,"Renewable energy",Hydro,,,"- Trinkwasserkraftwerk; ",BFE
Buchs-Tobeläckerli,,,,"Buchs, Steig - Aspenhölzli",CH,0.69,Hydro,Run-of-river,,2013,,47.1562316902,9.46456548914,,"Renewable energy",Hydro,,,"- Trinkwasserkraftwerk; ",BFE
Buchs-Altendorf,,,,"Buchs, Altendorf",CH,3.56,Hydro,Run-of-river,,1987,,47.1569967916,9.46710077053,,"Renewable energy",Hydro,,,,BFE
"Grabs (Bannwald)",,,,"Grabs, Bannwald",CH,0.44,Hydro,Run-of-river,,1994,,47.17262767,9.41689346785,,"Renewable energy",Hydro,,,,BFE
"Grabs (Löchli)",,,,"Grabs, Löchli",CH,1.43,Hydro,Run-of-river,,1996,,47.1757270944,9.43020364886,,"Renewable energy",Hydro,,,,BFE
Sennwald,,,,Sennwald,CH,1.22,Hydro,Run-of-river,,1990,,47.2615761557,9.49605409189,,"Renewable energy",Hydro,,,,BFE
Lienz,,,,Lienz,CH,0.38,Hydro,Run-of-river,,1989,,47.2751747537,9.525398933,,"Renewable energy",Hydro,,,,BFE
"Blatten (SAK)",,,,"Oberriet, Blatten",CH,0.38,Hydro,Run-of-river,,1989,,47.307700421,9.56728348718,,"Renewable energy",Hydro,,,,BFE
Montlingen,,,,Montlingen,CH,0.38,Hydro,Run-of-river,,1989,,47.3392405944,9.57926456954,,"Renewable energy",Hydro,,,,BFE
"Gstaldenbach, Heiden",,,,"Heiden, Hinterlochen",CH,0.72,Hydro,Run-of-river,,1982,,,,,"Renewable energy",Hydro,,,,BFE
Lochmühle,,,,"Untereggen, Lochmüli",CH,0.63,Hydro,Run-of-river,,2003,,47.4603255412,9.43979811879,,"Renewable energy",Hydro,,,,BFE
"Morgental (Abwasser)",,,,Steinach,CH,1.2,Hydro,Run-of-river,,2014,,47.5005666197,9.42790432392,,"Renewable energy",Hydro,,,"- Abwasserkraftwerk; ",BFE
Schaffhausen,,,,Schaffhausen,CH,28.9,Hydro,Run-of-river,,1964,,47.6931243898,8.63042746026,,"Renewable energy",Hydro,,,,BFE
Engeweiher,,,,Schaffhausen,CH,5,Hydro,"Pumped storage with natural inflow",,1993,,47.6934840779,8.63043555306,,"Renewable energy",Hydro,,,"- Zentrale Engeweiher praktiziert Umwälzbetrieb  ; ",BFE
Neuhausen,,,,Neuhausen,CH,5.6,Hydro,Run-of-river,,2011,,47.6798806585,8.61494656661,,"Renewable energy",Hydro,,,,BFE
Rheinau,,,,Rheinau,CH,36.8,Hydro,Run-of-river,,2005,,47.6389102371,8.60166117811,,"Renewable energy",Hydro,,,,BFE
Giessen,,,,"Nesslau, unterer Giessenfall",CH,1.9,Hydro,Run-of-river,,2001,,47.2178452198,9.20939259186,,"Renewable energy",Hydro,,,,BFE
"Nesslau (Ijentalerbach)",,,,"Nesslau, Schneit",CH,1.25,Hydro,Run-of-river,,2010,,47.2216373141,9.18495516077,,"Renewable energy",Hydro,,,,BFE
Herrentöbeli,,,,Krummenau,CH,0.84,Hydro,Run-of-river,,1991,,47.2447757187,9.17791678684,,"Renewable energy",Hydro,,,,BFE
Trempel,,,,"Trempel, Ebnat-Kappel",CH,1.8,Hydro,Run-of-river,,2007,,47.2494883643,9.16366835457,,"Renewable energy",Hydro,,,,BFE
"Im Roos",,,,"Ebnat - Kappel",CH,0.86,Hydro,Run-of-river,,2004,,47.2585402791,9.12960201415,,"Renewable energy",Hydro,,,,BFE
"Stadtbrücke, Lichtensteig",,,,Lichtensteig,CH,0.57,Hydro,Run-of-river,,2013,,47.3232416909,9.08494859192,,"Renewable energy",Hydro,,,,BFE
Dietfurt,,,,Bütschwil,CH,0.98,Hydro,Run-of-river,,2002,,47.3444435336,9.08070597557,,"Renewable energy",Hydro,,,,BFE
Soor,,,,Bütschwil,CH,0.98,Hydro,Run-of-river,,2001,,47.3564409783,9.07842778781,,"Renewable energy",Hydro,,,,BFE
Mülau,,,,"Mülau bei Bazenheid Kirchberg",CH,1.37,Hydro,Run-of-river,,2010,,47.410872339,9.07811617053,,"Renewable energy",Hydro,,,"- Ersatz alte Zentrale Mülau im Jahr 2010;  ; ",BFE
Niederglatt-Gossau,,,,Glattmüli,CH,0.35,Hydro,Run-of-river,,1967,,47.4314001196,9.17553013871,,"Renewable energy",Hydro,,,,BFE
Bischofszell,,,,Bischofszell,CH,1.02,Hydro,Run-of-river,,1935,,47.4930279409,9.23422119529,,"Renewable energy",Hydro,,,,BFE
"Seealp - Wasserauen",,,,Rässenaueli,CH,2.5,Hydro,Reservoir,,2005,,47.2807040389,9.42116368952,,"Renewable energy",Hydro,,,,BFE
Rossfall,,,,Urnäsch,CH,0.38,Hydro,Run-of-river,,1991,,47.2868596876,9.27779379793,,"Renewable energy",Hydro,,,,BFE
